weight,length
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
2.775,111.5
4.375,111.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
2.775,127.5
2.775,127.5
2.775,127.5
2.775,127.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
4.375,143.5
4.375,143.5
4.375,143.5
4.375,143.5
1.175,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
5.975,159.5
5.975,159.5
7.575,159.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
